,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Day,Month,Year,Hour,Minute,Total Consumption
45,1.756,0.068,240.75,7.2,1,8,2009,7,28,18.0
46,1.354,0.166,241.45,5.6,17,7,2009,9,32,18.0
47,0.194,0.076,242.82,0.8,15,7,2009,18,12,0.0
48,0.294,0.102,239.94,1.2,14,4,2007,2,46,1.0
49,1.302,0.056,242.6,5.2,14,3,2009,5,44,18.0
50,3.098,0.26,237.38,13.2,12,9,2009,20,7,0.0
51,0.29,0.208,241.51,1.4,7,3,2009,9,57,3.0
52,0.202,0.104,242.25,0.8,7,12,2009,6,5,1.0
53,0.654,0.722,243.22,4.0,14,6,2008,18,35,2.0
54,1.302,0.0,241.18,5.4,24,11,2007,15,56,18.0
55,0.508,0.26,244.03,2.2,2,8,2007,6,31,0.0
56,0.224,0.0,242.86,1.0,3,12,2009,1,52,0.0
57,2.068,0.244,240.02,8.6,15,4,2009,16,58,28.0
58,0.404,0.116,243.5,1.6,23,11,2008,8,20,0.0
59,1.378,0.074,240.04,5.6,1,4,2008,9,23,17.0
60,0.332,0.104,243.54,1.4,25,12,2009,5,26,3.0
61,0.24,0.0,244.08,1.0,14,12,2009,11,53,1.0
62,0.31,0.216,242.23,1.6,21,9,2008,4,36,1.0
63,2.422,0.096,239.45,10.0,2,1,2009,18,10,18.0
64,2.046,0.0,238.92,8.4,16,10,2009,14,8,29.0
65,0.216,0.0,242.86,1.0,9,3,2008,0,8,1.0
66,1.294,0.118,237.22,5.4,22,9,2008,10,30,18.0
67,0.158,0.0,240.77,0.6,28,7,2010,19,15,1.0
68,2.136,0.324,235.04,9.2,10,3,2007,19,41,1.0
69,1.486,0.09,242.57,6.0,3,12,2008,13,12,18.0
70,1.926,0.066,240.43,8.2,3,9,2009,7,57,18.0
71,1.64,0.15,243.06,6.8,3,9,2010,13,56,20.0
72,0.664,0.154,242.97,2.8,1,1,2010,12,34,1.0
73,0.266,0.136,243.35,1.2,25,5,2008,23,26,2.0
74,1.994,0.242,239.54,9.0,2,12,2010,8,55,20.0
75,1.266,0.0,242.13,5.2,5,7,2010,23,20,0.0
76,1.944,0.084,244.18,7.8,21,12,2009,16,59,18.0
77,1.468,0.094,241.9,6.0,18,3,2008,18,20,20.0
78,1.446,0.104,242.62,5.8,2,11,2010,9,9,19.0
79,1.182,0.068,246.16,6.0,16,12,2007,3,8,0.0
80,4.4,0.35,239.88,18.4,2,2,2008,16,32,56.0
81,0.474,0.208,247.08,2.2,13,1,2009,4,22,0.0
82,0.814,0.384,243.72,3.6,24,8,2009,19,55,0.0
83,0.404,0.23,242.44,1.8,10,8,2007,17,0,2.0
84,1.544,0.266,238.9,6.4,9,6,2008,15,46,18.0
85,1.464,0.136,236.93,6.2,19,1,2008,21,28,17.0
86,0.246,0.134,242.59,1.2,22,7,2009,17,58,2.0
87,0.4,0.146,243.82,1.8,15,5,2010,10,54,1.0
88,1.954,0.054,239.61,8.2,19,10,2007,20,30,0.0
89,0.764,0.26,240.71,3.6,18,6,2010,6,53,6.0
90,0.298,0.066,242.37,1.2,20,3,2009,6,22,0.0
91,0.304,0.228,240.6,1.6,25,6,2009,14,14,2.0
92,0.214,0.0,244.55,0.8,29,11,2008,4,22,0.0
93,1.688,0.27,240.11,7.2,31,5,2008,20,37,18.0
94,1.638,0.048,238.01,6.8,19,11,2008,7,12,17.0
95,2.376,0.0,238.55,9.8,13,10,2008,21,23,19.0
96,0.772,0.144,239.59,3.6,27,9,2009,19,3,6.0
97,0.448,0.08,246.39,1.8,17,2,2010,4,7,0.0
98,1.192,0.08,243.25,4.8,29,10,2010,18,41,1.0
99,3.068,0.218,240.88,12.6,18,12,2008,8,30,18.0
100,0.464,0.204,238.67,2.0,3,9,2008,12,17,0.0
101,0.66,0.15,241.99,2.8,30,7,2009,22,11,2.0
102,0.188,0.08,236.26,0.8,17,9,2007,9,49,1.0
103,0.922,0.178,232.0,4.2,29,5,2007,10,59,0.0
104,0.172,0.102,243.12,0.8,18,8,2007,3,41,0.0
105,0.412,0.258,243.39,2.0,23,3,2010,3,3,3.0
106,0.366,0.288,240.0,1.8,17,6,2008,5,40,1.0
107,0.114,0.0,238.98,0.6,5,4,2007,0,8,0.0
108,0.296,0.184,241.25,1.6,7,1,2008,6,17,0.0
109,1.39,0.102,239.17,5.8,13,1,2008,9,4,0.0
110,0.1,0.0,233.55,0.4,30,7,2007,8,20,0.0
111,0.326,0.118,242.03,1.4,27,3,2007,6,8,0.0
112,4.366,0.688,238.0,18.8,19,4,2010,19,20,36.0
113,0.41,0.292,241.32,2.0,9,7,2010,5,54,1.0
114,0.256,0.0,246.6,1.0,1,2,2010,5,39,1.0
115,2.284,0.21,238.42,9.6,15,7,2007,15,12,19.0
116,1.35,0.058,242.38,5.6,14,12,2008,3,11,18.0
117,0.15,0.0,234.36,0.6,5,12,2007,4,51,0.0
118,0.31,0.0,247.75,1.4,3,8,2010,2,3,0.0
119,0.258,0.0,247.56,1.0,2,6,2008,16,23,0.0
120,0.234,0.0,245.43,1.0,23,12,2007,7,32,0.0
121,1.292,0.088,238.75,5.4,23,7,2010,15,41,20.0
122,1.36,0.05,242.95,5.6,3,10,2009,3,21,18.0
123,0.44,0.056,245.47,1.8,14,2,2010,8,33,1.0
124,1.292,0.0,240.74,5.2,13,11,2009,10,54,18.0
125,0.402,0.176,240.27,1.8,10,9,2010,4,51,1.0
126,0.324,0.202,240.5,1.6,24,9,2010,6,33,3.0
127,3.02,0.072,237.17,12.6,11,7,2010,9,44,18.0
128,1.48,0.136,242.23,6.0,28,12,2006,16,2,19.0
129,1.292,0.0,240.59,5.4,18,1,2007,9,22,18.0
130,0.976,0.202,246.39,4.0,7,7,2009,23,36,13.0
131,0.318,0.212,242.09,1.6,24,6,2009,3,9,0.0
132,0.208,0.0,239.87,0.8,30,10,2007,8,8,0.0
133,0.156,0.0,240.72,0.8,7,1,2007,13,55,0.0
134,1.474,0.0,240.17,6.2,10,2,2008,23,56,18.0
135,0.502,0.07,234.9,2.4,27,5,2007,8,7,0.0
136,1.83,0.19,239.91,7.6,14,11,2009,13,14,18.0
137,1.366,0.0,241.79,5.6,9,5,2010,12,3,18.0
138,0.326,0.11,242.73,1.4,16,10,2007,23,58,0.0
139,1.386,0.108,238.11,5.8,5,6,2008,10,16,18.0
140,0.264,0.128,241.69,1.2,15,5,2008,11,0,1.0
141,1.528,0.218,239.52,6.4,15,9,2010,21,41,0.0
142,0.23,0.0,245.43,1.0,20,12,2006,4,31,0.0
143,2.058,0.208,238.76,8.6,6,5,2009,7,41,29.0
144,2.036,0.17,238.51,8.6,2,4,2007,21,46,0.0
145,0.08,0.0,240.93,0.2,8,10,2008,3,26,1.0
146,2.352,0.054,236.15,10.0,17,10,2009,21,48,19.0
147,3.152,0.084,238.02,13.2,4,6,2007,7,31,19.0
148,0.32,0.106,239.65,1.4,27,2,2008,8,44,0.0
149,0.276,0.0,251.15,1.0,11,2,2010,5,32,1.0
150,2.936,0.0,238.13,12.2,30,9,2007,20,28,18.0
151,0.51,0.332,243.36,2.4,14,4,2010,23,8,2.0
152,1.194,0.056,239.95,7.0,24,3,2007,7,36,0.0
153,0.1,0.0,239.24,0.4,16,6,2007,7,29,0.0
154,0.408,0.284,239.82,2.0,9,9,2010,2,6,2.0
155,0.21,0.082,235.24,1.0,24,7,2007,2,37,0.0
156,0.804,0.104,234.85,3.4,8,7,2007,19,34,0.0
157,3.754,0.29,235.62,16.0,18,1,2009,11,26,41.0
158,6.968,0.4,233.59,29.8,4,11,2009,20,47,90.0
159,1.278,0.1,239.28,5.2,7,12,2007,8,36,18.0
160,0.138,0.0,242.09,0.6,9,3,2007,13,57,0.0
161,0.738,0.0,238.3,3.2,6,9,2008,21,34,0.0
162,0.312,0.096,244.73,1.2,22,2,2008,2,33,1.0
163,0.51,0.354,244.39,2.4,1,8,2010,0,41,2.0
164,2.406,0.078,239.9,10.0,20,9,2007,22,14,19.0
165,3.012,0.33,243.36,12.4,1,5,2010,17,52,19.0
166,0.206,0.0,243.01,0.8,11,3,2007,23,33,0.0
167,0.316,0.216,239.06,1.6,27,5,2008,14,4,3.0
168,3.808,0.06,239.54,16.2,3,6,2009,21,2,26.0
169,1.5,0.128,242.55,6.2,16,4,2009,11,46,19.0
170,0.294,0.2,237.35,1.4,5,4,2007,2,38,0.0
171,0.484,0.17,243.34,2.0,7,8,2009,19,50,2.0
172,0.364,0.0,245.7,1.4,19,9,2010,13,35,2.0
173,2.322,0.158,241.19,9.6,23,12,2008,20,1,18.0
174,0.39,0.242,247.39,1.8,21,12,2009,2,14,1.0
175,0.334,0.112,242.53,1.4,22,1,2010,5,11,2.0
176,1.576,0.208,237.31,6.6,17,6,2007,11,49,18.0
177,0.108,0.0,238.14,0.6,27,8,2008,11,48,1.0
178,0.458,0.23,240.72,2.2,22,2,2008,17,18,1.0
179,1.7,0.364,239.34,8.2,26,5,2008,19,53,0.0
180,0.234,0.0,243.32,1.0,21,5,2009,4,53,1.0
181,0.252,0.132,241.98,1.2,15,7,2007,9,33,0.0
182,2.084,0.21,239.6,8.6,22,11,2009,11,31,29.0
183,0.264,0.06,240.85,1.2,10,7,2010,17,42,1.0
184,2.522,0.098,236.99,10.6,29,9,2007,21,50,3.0
185,0.226,0.0,246.24,1.0,25,1,2007,6,3,0.0
186,1.4,0.226,240.11,5.8,8,11,2010,13,17,20.0
187,1.594,0.37,237.35,6.8,21,7,2008,20,24,19.0
188,1.396,0.212,238.28,5.8,9,3,2008,5,24,19.0
189,0.732,0.216,236.4,3.2,25,5,2009,19,26,2.0
190,2.806,0.0,239.99,12.0,17,3,2009,21,47,26.0
191,0.26,0.0,244.31,1.0,29,10,2010,7,18,0.0
192,0.084,0.0,243.5,0.2,28,8,2008,23,20,0.0
193,1.002,0.148,240.04,5.0,15,4,2007,21,56,0.0
194,1.34,0.064,238.86,5.6,9,8,2007,17,50,17.0
195,0.322,0.0,244.8,1.4,13,4,2009,0,13,0.0
196,1.334,0.054,236.85,5.6,10,3,2008,11,58,18.0
197,0.156,0.0,241.99,0.6,8,12,2010,10,53,0.0
198,1.412,0.088,243.98,5.8,3,12,2009,17,9,18.0
199,1.588,0.07,241.15,6.6,30,10,2009,21,58,1.0
200,1.246,0.306,239.65,5.2,7,2,2010,3,22,2.0
201,0.396,0.202,241.01,1.8,21,10,2009,2,25,1.0
202,0.234,0.082,240.51,1.0,30,7,2010,4,22,1.0
203,1.442,0.086,240.86,6.0,4,3,2009,3,2,18.0
204,0.292,0.0,242.3,1.2,3,8,2008,5,49,0.0
205,0.186,0.074,239.09,0.8,7,2,2007,8,40,1.0
206,2.448,0.14,239.07,10.2,18,1,2007,19,47,17.0
207,1.456,0.166,238.89,6.0,11,12,2010,12,21,18.0
208,0.244,0.0,244.98,1.0,3,9,2009,1,15,0.0
209,3.298,0.194,231.94,14.6,14,9,2008,19,43,18.0
210,2.778,0.468,241.61,11.6,21,12,2008,17,36,23.0
211,1.52,0.152,237.61,6.4,21,2,2009,21,56,17.0
212,0.12,0.074,237.35,0.6,8,8,2008,1,12,1.0
213,0.338,0.108,239.56,1.4,5,2,2008,13,58,1.0
214,1.346,0.0,240.07,5.6,31,12,2007,13,31,17.0
215,1.514,0.29,238.63,6.4,17,10,2009,13,31,19.0
216,4.23,0.382,237.56,17.8,16,1,2010,11,29,53.0
217,0.218,0.0,242.72,1.0,21,7,2009,16,40,1.0
218,0.854,0.13,242.8,3.6,28,9,2010,22,59,1.0
219,0.626,0.066,237.03,2.8,5,6,2007,16,48,0.0
220,0.262,0.0,247.39,1.0,5,6,2009,23,31,1.0
221,0.3,0.118,242.72,1.4,23,8,2010,6,54,0.0
222,1.402,0.078,246.86,5.6,12,5,2008,23,38,0.0
223,0.326,0.168,242.71,1.6,1,6,2007,7,24,1.0
224,0.498,0.408,240.53,2.6,1,3,2007,20,57,1.0
225,0.342,0.112,241.31,1.4,22,4,2008,20,14,1.0
226,2.4,0.12,238.89,10.0,21,5,2008,7,2,29.0
227,0.334,0.084,244.54,1.4,22,12,2008,6,42,2.0
228,0.302,0.188,239.3,1.4,7,1,2007,12,39,1.0
229,1.652,0.1,239.32,6.8,21,6,2008,16,36,18.0
230,0.45,0.142,245.07,2.0,14,2,2007,22,35,2.0
231,0.602,0.188,242.06,2.8,11,2,2008,10,2,0.0
232,4.386,0.236,234.84,18.8,22,2,2007,20,38,18.0
233,2.626,0.07,231.89,11.4,1,6,2008,19,28,0.0
235,1.52,0.21,244.99,6.2,15,3,2010,15,57,21.0
236,2.426,0.164,239.92,10.0,2,4,2007,4,44,0.0
237,0.29,0.0,242.03,1.4,1,5,2007,11,35,0.0
238,1.152,0.0,237.86,4.8,28,8,2007,13,9,17.0
239,0.4,0.11,244.69,1.8,19,4,2009,2,28,1.0
240,0.08,0.0,239.07,0.2,28,8,2008,6,3,0.0
241,3.804,0.198,241.7,15.6,21,3,2010,15,7,58.0
242,2.01,0.046,237.21,8.4,10,5,2007,7,21,19.0
243,0.856,0.308,241.18,3.8,16,8,2010,2,59,10.0
244,0.528,0.084,243.76,2.4,11,3,2008,0,26,0.0
245,2.102,0.06,247.22,8.4,15,12,2009,16,35,19.0
246,0.65,0.228,243.17,2.8,5,9,2010,1,14,2.0
247,1.588,0.0,244.29,6.4,1,1,2009,22,44,0.0
248,0.288,0.05,243.43,1.2,19,10,2009,14,28,0.0
249,2.59,0.194,238.89,10.8,29,4,2008,19,34,18.0
250,0.338,0.224,240.77,1.6,26,8,2009,0,6,2.0
251,0.254,0.262,237.77,1.4,8,9,2008,0,12,3.0
252,4.948,0.574,240.77,21.2,1,10,2010,15,21,48.0
254,0.396,0.204,241.13,1.8,5,4,2008,7,13,1.0
255,0.454,0.314,234.45,2.4,20,7,2007,13,57,1.0
256,0.21,0.048,245.39,0.8,27,10,2008,5,27,0.0
257,0.32,0.268,244.6,1.6,22,7,2009,18,21,1.0
258,0.32,0.224,239.04,1.6,8,2,2008,2,34,1.0
259,0.336,0.248,243.4,1.6,7,10,2008,23,40,1.0
260,0.268,0.0,240.54,1.2,19,10,2008,5,58,1.0
261,2.042,0.0,240.37,8.4,28,12,2007,9,48,18.0
262,1.594,0.186,239.96,6.6,27,4,2010,11,17,19.0
263,0.254,0.0,241.18,1.0,5,7,2008,11,8,1.0
264,0.33,0.138,243.87,1.4,4,3,2007,15,9,0.0
265,1.308,0.084,236.06,5.4,8,5,2007,9,38,17.0
266,1.564,0.0,239.94,6.4,28,1,2009,21,11,19.0
267,1.848,0.098,240.93,7.6,14,11,2009,23,10,18.0
268,1.82,0.242,238.84,7.6,20,1,2010,18,28,1.0
269,0.234,0.094,239.35,1.0,18,4,2007,13,13,0.0
270,0.224,0.0,244.56,1.0,13,2,2007,0,19,0.0
271,1.636,0.158,236.08,7.0,4,10,2008,21,18,2.0
272,0.198,0.134,241.16,1.0,17,8,2007,15,46,0.0
273,0.228,0.0,242.86,1.0,21,10,2007,3,25,0.0
274,1.43,0.0,243.47,5.8,19,12,2009,12,34,20.0
275,0.214,0.0,239.6,0.8,14,4,2007,15,52,0.0
276,3.504,0.226,236.92,15.2,23,10,2010,18,12,41.0
277,0.546,0.176,240.51,2.4,18,9,2010,9,49,1.0
278,2.3,0.05,239.85,9.6,2,7,2010,18,21,18.0
279,2.408,0.228,240.03,10.2,25,11,2009,13,47,35.0
280,2.232,0.278,238.1,9.4,20,6,2008,21,22,20.0
281,2.418,0.19,237.34,10.2,22,2,2007,1,3,0.0
282,1.692,0.082,236.03,7.2,23,1,2009,19,8,0.0
283,0.25,0.0,241.18,1.0,13,5,2010,9,23,0.0
284,1.216,0.158,243.87,5.0,20,9,2009,22,34,2.0
285,1.558,0.206,240.62,6.4,17,6,2007,1,43,1.0
286,1.388,0.098,240.62,5.8,18,12,2008,11,18,18.0
287,0.314,0.056,246.22,1.2,22,2,2009,1,10,0.0
288,3.014,0.0,238.67,12.6,24,10,2009,20,16,18.0
289,0.216,0.0,241.78,0.8,26,2,2008,15,52,0.0
290,1.646,0.426,243.15,7.0,22,4,2009,13,52,20.0
291,0.402,0.0,246.24,1.8,12,5,2007,23,40,0.0
292,1.476,0.214,242.49,6.0,15,7,2009,9,14,22.0
293,1.25,0.088,236.54,5.2,22,5,2008,10,10,18.0
294,0.862,0.158,233.85,3.8,27,5,2007,8,25,1.0
295,0.306,0.09,242.49,1.2,23,12,2008,5,10,0.0
296,1.488,0.066,240.52,6.2,31,10,2008,19,43,18.0
297,3.886,0.098,237.86,16.2,30,3,2008,1,53,56.0
298,1.544,0.122,239.11,6.4,21,12,2007,13,45,18.0
299,1.366,0.06,240.22,5.6,17,9,2010,6,45,19.0
300,0.34,0.078,243.46,1.4,10,6,2010,4,57,0.0
301,0.412,0.176,240.87,1.8,10,10,2010,3,59,2.0
302,1.412,0.092,242.45,5.8,4,9,2010,11,54,19.0
303,0.322,0.124,243.55,1.4,4,7,2007,15,15,2.0
304,0.836,0.0,245.95,3.4,1,7,2010,7,24,1.0
305,2.93,0.0,236.41,12.4,24,1,2010,20,12,19.0
306,0.272,0.0,244.89,1.0,16,4,2008,2,53,1.0
307,0.27,0.0,243.8,1.2,5,5,2009,0,56,0.0
308,0.242,0.118,243.24,1.0,9,11,2009,3,54,1.0
309,2.662,0.186,237.83,11.4,14,2,2008,19,58,13.0
310,3.674,0.312,235.99,15.6,24,5,2009,18,55,18.0
311,1.542,0.134,242.81,6.2,5,2,2009,9,33,19.0
312,0.538,0.316,247.85,2.6,30,11,2009,3,29,2.0
313,0.126,0.0,237.93,0.6,26,6,2007,10,13,0.0
314,0.212,0.15,237.75,1.0,30,7,2007,0,24,0.0
315,0.228,0.0,243.32,1.0,2,3,2008,4,20,0.0
316,0.316,0.09,241.54,1.4,20,3,2010,1,20,1.0
317,1.05,0.114,244.26,4.2,30,11,2007,21,39,0.0
318,1.862,0.046,246.79,7.6,18,12,2009,19,46,0.0
319,1.338,0.128,232.63,5.8,30,5,2007,8,50,18.0
320,0.276,0.12,239.25,1.2,29,6,2008,10,53,0.0
322,0.48,0.264,240.79,2.2,9,10,2008,22,56,1.0
323,3.49,0.178,235.05,14.8,10,7,2007,20,7,19.0
324,1.346,0.0,237.82,5.6,3,10,2008,9,10,17.0
325,1.432,0.06,238.82,6.0,10,5,2007,21,3,18.0
326,0.964,0.214,239.99,4.0,22,7,2009,22,7,0.0
327,1.422,0.0,240.87,5.8,1,2,2008,11,10,18.0
328,0.682,0.216,240.03,3.0,29,6,2010,18,55,3.0
329,1.236,0.102,238.21,5.2,27,5,2010,22,9,1.0
330,0.43,0.0,243.43,1.8,19,2,2007,6,22,0.0
331,0.268,0.0,244.58,1.2,28,3,2009,0,24,0.0
332,1.348,0.076,239.97,5.6,23,1,2007,9,33,18.0
333,0.418,0.224,245.58,1.8,31,1,2010,5,23,0.0
334,1.52,0.094,242.17,6.2,13,11,2009,15,30,18.0
335,0.102,0.0,236.02,0.4,8,10,2007,7,27,0.0
336,2.044,0.406,238.12,8.6,29,6,2010,10,2,29.0
337,0.422,0.21,240.64,1.8,24,10,2008,4,19,1.0
338,0.424,0.326,245.74,2.2,28,12,2006,1,58,2.0
339,0.358,0.08,243.03,1.4,5,10,2010,4,23,1.0
340,0.254,0.0,242.24,1.0,4,8,2010,4,2,1.0
341,0.386,0.24,241.05,1.8,13,4,2007,9,32,1.0
342,0.32,0.116,242.81,1.4,22,3,2010,5,12,1.0
343,3.298,0.046,238.29,14.4,14,12,2007,12,25,43.0
344,0.136,0.0,242.65,0.6,9,10,2009,12,9,1.0
345,0.27,0.0,248.87,1.2,23,1,2009,3,24,0.0
346,0.218,0.0,241.69,0.8,2,9,2008,1,29,0.0
347,1.282,0.056,240.03,5.2,22,12,2008,17,32,17.0
348,1.326,0.062,239.9,5.4,18,11,2008,12,58,18.0
349,0.612,0.17,235.88,2.6,25,5,2009,20,44,1.0
350,0.304,0.236,236.26,1.6,7,3,2008,11,22,2.0
351,3.442,0.306,235.34,14.6,13,1,2007,19,33,17.0
352,1.268,0.0,238.29,5.2,14,3,2007,9,44,17.0
353,0.238,0.0,244.68,1.0,31,12,2007,6,30,0.0
354,0.444,0.228,240.22,2.0,4,12,2009,4,47,1.0
355,1.418,0.0,245.92,5.8,1,7,2009,11,28,18.0
356,0.218,0.106,243.88,1.0,16,7,2009,22,27,2.0
357,2.664,0.142,239.02,11.6,18,9,2008,21,6,22.0
358,0.776,0.254,244.49,3.2,12,11,2009,12,55,1.0
359,1.856,0.0,244.09,7.6,31,12,2008,21,49,0.0
360,0.296,0.062,246.17,1.2,19,11,2007,4,32,0.0
361,2.334,0.208,240.94,9.6,15,1,2007,21,14,0.0
362,0.404,0.2,237.63,1.8,5,3,2010,13,25,2.0
363,1.284,0.09,241.79,5.2,16,6,2009,10,32,19.0
364,0.47,0.28,240.86,2.4,16,2,2007,9,53,1.0
365,4.256,0.084,235.41,18.0,24,11,2008,21,49,17.0
366,1.494,0.208,238.75,6.2,5,7,2009,9,38,19.0
367,3.038,0.244,241.08,12.6,27,3,2008,20,54,19.0
368,0.31,0.252,241.86,1.6,20,8,2009,19,34,2.0
369,4.002,0.098,242.82,16.4,14,12,2009,18,2,19.0
370,0.328,0.082,243.01,1.4,21,2,2007,14,0,1.0
371,0.718,0.322,239.92,3.2,19,11,2008,12,14,1.0
372,0.328,0.088,244.46,1.4,20,10,2009,22,45,1.0
373,2.988,0.096,236.65,12.6,25,3,2007,21,15,21.0
374,0.256,0.0,245.11,1.0,14,3,2010,8,21,1.0
375,0.132,0.068,242.67,0.8,28,8,2008,0,6,1.0
376,0.36,0.248,241.96,1.8,17,7,2010,19,40,1.0
377,1.196,0.064,237.52,5.0,25,1,2008,1,1,0.0
378,0.136,0.0,236.51,0.6,8,3,2008,9,54,1.0
379,1.592,0.0,242.14,6.6,22,11,2008,14,12,20.0
380,1.43,0.21,238.16,6.0,27,9,2008,8,31,20.0
381,0.354,0.306,239.06,1.8,22,9,2007,2,35,1.0
382,1.654,0.206,243.28,6.8,2,9,2010,18,14,2.0
383,1.344,0.0,243.88,5.4,2,4,2010,14,25,19.0
385,1.526,0.186,239.84,6.4,6,12,2009,6,19,20.0
386,1.708,0.126,240.36,7.0,23,5,2010,14,36,18.0
387,0.946,0.204,235.93,4.0,8,4,2008,4,43,13.0
388,0.604,0.07,245.92,2.4,13,11,2010,0,4,0.0
389,0.598,0.078,237.13,3.0,30,10,2008,18,53,0.0
390,0.27,0.048,245.21,1.2,3,3,2009,5,4,0.0
391,1.426,0.0,237.43,6.0,9,4,2008,14,12,18.0
392,0.166,0.0,241.9,0.6,17,5,2008,1,10,0.0
393,2.114,0.138,237.42,8.8,6,12,2008,6,44,29.0
394,1.526,0.05,239.96,6.4,1,12,2008,12,15,17.0
395,0.406,0.184,240.93,1.8,10,8,2010,3,20,2.0
396,0.264,0.122,241.43,1.2,23,6,2007,18,51,0.0
397,0.994,0.26,241.3,4.2,5,5,2009,16,8,12.0
398,0.164,0.142,241.47,0.8,15,8,2008,22,41,2.0
399,0.18,0.152,240.72,0.8,13,8,2008,23,59,1.0
400,1.14,0.082,241.86,5.2,2,2,2008,13,27,0.0
401,0.438,0.188,244.04,1.8,4,5,2010,16,28,1.0
402,2.998,0.216,240.14,12.4,9,7,2009,6,57,19.0
403,0.304,0.084,244.83,1.2,2,9,2008,6,22,0.0
404,0.31,0.0,244.2,1.6,23,6,2009,23,22,1.0
405,2.358,0.052,233.44,10.0,16,5,2007,18,31,35.0
406,0.246,0.14,243.56,1.2,22,9,2008,17,44,3.0
407,0.256,0.0,250.02,1.0,1,8,2010,5,25,1.0
408,0.222,0.0,244.78,1.0,4,4,2007,0,17,0.0
409,0.428,0.22,242.9,2.0,10,1,2008,2,16,3.0
410,0.102,0.0,240.31,0.4,18,8,2007,10,44,0.0
411,0.23,0.108,238.05,1.0,7,10,2007,12,57,0.0
412,0.12,0.0,235.99,0.6,5,7,2007,2,49,0.0
413,3.704,0.0,238.52,15.4,11,4,2008,21,3,36.0
414,1.34,0.0,239.34,5.6,13,2,2009,14,26,17.0
415,0.234,0.0,247.31,1.0,29,1,2009,23,38,0.0
416,0.31,0.116,240.15,1.4,13,4,2007,4,33,0.0
417,0.218,0.098,240.1,1.0,26,6,2008,2,1,2.0
418,1.518,0.046,238.9,6.4,22,2,2008,9,10,19.0
419,4.638,0.438,233.54,19.8,15,5,2010,21,35,55.0
420,0.378,0.234,243.2,1.8,19,5,2008,23,58,1.0
421,0.4,0.082,239.82,1.8,21,4,2009,12,54,1.0
422,1.232,0.0,230.82,5.4,21,5,2007,10,53,17.0
423,1.55,0.23,244.72,6.4,20,11,2009,14,59,21.0
424,0.39,0.176,239.18,1.8,18,5,2009,5,33,2.0
